Date,Open,High,Low,Close,Volume
14-May-99,53.6875,53.875,52.5625,53,2182600
13-May-99,54.125,55.9375,54.125,54.5,2189000
12-May-99,54.9375,54.9375,53.5625,54.0625,1721000
11-May-99,54.0625,55,53.6875,54.8125,1425300
10-May-99,54.125,54.4375,53.375,54.25,1246200
7-May-99,53.75,54.5,53.6875,54.375,1276700
6-May-99,53.5,54,53.375,53.9375,1458300
5-May-99,54.875,55,53.5,54.6875,1962700
4-May-99,55.9375,55.9375,54.25,54.375,2109400
3-May-99,54.875,56,54.4375,55.9375,1373500
29-Apr-99,54.5,56.1875,54.3125,55.4375,2446200
28-Apr-99,54.9375,55.1875,54.5,55,2776900
27-Apr-99,54.25,55.25,53.9375,54.9375,2060000
26-Apr-99,54,54.375,53.3125,53.5625,2927200
23-Apr-99,54.6875,55.5,54.5625,55,854700
22-Apr-99,54.5,55.3125,53.875,55.1875,1872000
21-Apr-99,55.125,55.125,53.625,54.875,2504900
20-Apr-99,55.3125,55.625,54,54.9375,3982000
19-Apr-99,55.9375,57,55.3125,55.6875,4108100
16-Apr-99,55,56,54.5625,55.75,1610000
15-Apr-99,55.5625,56.5,55.1875,55.875,1763100
14-Apr-99,55.5,56,55,55.0625,1852300
13-Apr-99,55.3125,55.5625,54.75,55.125,1610700
12-Apr-99,54,55.75,53.875,55.3125,1625700
9-Apr-99,54.4375,54.875,53.8125,54.3125,2212400
8-Apr-99,54.5,55.5,54.125,54.9375,2002800
7-Apr-99,53.5,54.5,53.5,54.5,1742400
6-Apr-99,54.0625,54.25,53.25,53.3125,1584600
5-Apr-99,53.9375,54.1875,53.5625,53.9375,2154400
1-Apr-99,53.625,53.8125,53.0625,53.4375,1555800
31-Mar-99,53.625,54.1875,53.25,53.4375,2257200
30-Mar-99,54,54.375,53.75,53.75,1514900
29-Mar-99,53.75,54.875,53.6875,54.625,1708600
26-Mar-99,54,54.3125,53.4375,53.6875,1596900
25-Mar-99,53.25,54.75,53.25,54.1875,2659300
24-Mar-99,53.375,54.125,53.0625,53.1875,2819100
23-Mar-99,53.9375,53.9375,52.5,53.375,3440900
22-Mar-99,53.25,54.125,52.8125,53.9375,2252300
19-Mar-99,55.9375,55.9375,53.875,54.5,4793300
18-Mar-99,52,55.25,51.625,55.25,3960500
17-Mar-99,51.5,52.5,51.375,52.0625,3502800
16-Mar-99,52.375,53.5,50.625,50.875,4011400
15-Mar-99,53.125,53.1875,51.25,52,4337100
12-Mar-99,54.0625,54.1875,52.875,53.125,2924200
11-Mar-99,54.6875,55.1875,53.6875,54,4718500
10-Mar-99,53.75,54.9375,53,54.6875,2506300
9-Mar-99,53,53.375,52.125,53.25,2289300
8-Mar-99,53.4375,53.5,52.4375,53.1875,1685500
5-Mar-99,53.75,54.125,53.25,53.5625,2334300
4-Mar-99,52.375,53.1875,52.25,53,1626500
3-Mar-99,52.9375,52.9375,52.0625,52.375,1356500
2-Mar-99,53.5625,53.6875,52.375,52.875,2433900
1-Mar-99,53.5,53.6875,52.75,53.5625,2289800
26-Feb-99,53.5,53.5,52.3125,53.3125,2260200
25-Feb-99,51.5625,53.375,51,53.3125,3205900
24-Feb-99,54.1875,54.75,51.5,51.625,2617300
23-Feb-99,53.592,54.2735,53.0344,53.53,3530700
22-Feb-99,52.2909,53.9637,52.2289,53.9637,2709200
19-Feb-99,52.4148,52.7865,51.3615,51.8572,3212700
18-Feb-99,51.2996,52.3528,51.0518,51.7952,2818600
17-Feb-99,50.9278,51.2996,50.3083,50.8039,3856400
16-Feb-99,51.0518,51.2376,50.3083,50.8659,3732400
12-Feb-99,48.3257,51.0518,48.3257,50.3083,5455000
11-Feb-99,48.5116,49.8746,48.2018,49.317,4524600
10-Feb-99,48.0779,48.5735,47.7061,48.2637,3255000
9-Feb-99,48.6974,49.317,47.6442,48.2018,3219100
8-Feb-99,48.5735,49.7507,48.2018,48.3877,2474100
5-Feb-99,49.4409,49.6268,48.3877,48.6974,3513300
4-Feb-99,51.2996,51.4235,49.1311,49.1931,5007700
3-Feb-99,49.5648,51.0518,49.4409,50.8659,6840100
2-Feb-99,50.8039,51.1757,50.0605,50.6181,4195800
1-Feb-99,52.167,53.0344,51.1137,51.2996,5519000
29-Jan-99,51.4235,52.2909,50.8659,52.0431,9559800
28-Jan-99,51.5474,51.7333,50.3702,51.2996,12107600
27-Jan-99,50.1844,51.9191,50.1844,51.7333,20838500
26-Jan-99,56.2561,56.7517,56.1941,56.5658,3043400
25-Jan-99,56.0082,56.5039,55.6985,56.318,2579000
22-Jan-99,55.8224,56.4419,55.5745,55.5745,2492700
21-Jan-99,57.6811,58.1147,56.5039,56.5039,2780500
20-Jan-99,58.4245,58.4245,56.9376,57.6191,3494000
19-Jan-99,59.7876,60.2832,56.6278,57.743,4169400
15-Jan-99,60.531,61.3984,59.23,59.6017,5778500
14-Jan-99,61.7082,63.0712,60.4691,60.4691,2286800
13-Jan-99,56.5039,62.9473,56.5039,61.8941,2700300
12-Jan-99,62.6995,63.1951,61.7082,61.956,2312200
11-Jan-99,64.4343,64.4343,61.4604,63.5049,1615700
8-Jan-99,64.4343,65.1777,63.9386,64.4962,3223600
7-Jan-99,62.5136,63.5669,61.5223,63.3191,3162300
6-Jan-99,61.7082,63.1332,61.4604,62.7614,2632000
5-Jan-99,59.4778,61.0267,59.23,60.9028,1995000
4-Jan-99,60.2213,61.2125,58.3626,59.7876,2234200
